node_id,parent_id,g,h,f,depth,n_legal_successors,n_pruned,status,all_pruned,is_new_best,prune_reason,timestamp_order
"((0, 0), (1, 0), (1, 1), (1, 2), (0, 2), (0, 1))","((0, 0), (1, 0), (1, 1), (1, 2), (0, 2))",0,2,2,5,,,goal,,False,,63
"((0, 0), (1, 0), (1, 1), (1, 2), (0, 2), (-1, 2))","((0, 0), (1, 0), (1, 1), (1, 2), (0, 2))",0,2,2,5,,,goal,,False,,64
"((0, 0), (1, 0), (1, 1), (1, 2), (0, 2), (0, 3))","((0, 0), (1, 0), (1, 1), (1, 2), (0, 2))",0,2,2,5,,,goal,,False,,65
"((0, 0), (1, 0), (1, 1), (1, 2), (0, 2))","((0, 0), (1, 0), (1, 1), (1, 2))",0,2,2,4,3,0,expanded,False,,,66
"((0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (2, 3))","((0, 0), (1, 0), (1, 1), (1, 2), (1, 3))",0,2,2,5,,,goal,,False,,67
"((0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (0, 3))","((0, 0), (1, 0), (1, 1), (1, 2), (1, 3))",0,2,2,5,,,goal,,False,,68
"((0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (1, 4))","((0, 0), (1, 0), (1, 1), (1, 2), (1, 3))",0,2,2,5,,,goal,,False,,69
"((0, 0), (1, 0), (1, 1), (1, 2), (1, 3))","((0, 0), (1, 0), (1, 1), (1, 2))",0,2,2,4,3,0,expanded,False,,,70
"((0, 0), (1, 0), (1, 1), (1, 2))","((0, 0), (1, 0), (1, 1))",0,2,2,3,3,0,expanded,False,,,71
"((0, 0), (1, 0), (1, 1))","((0, 0), (1, 0))",0,2,2,2,3,0,expanded,False,,,72
"((0, 0), (1, 0))",,0,3,3,1,2,0,expanded,False,,,73
